id,title,description,publishedAt,thumbnails.default.url,customUrl,defaultLanguage,viewCount,subscriberCount,videoCount,topicIds,topicCategories,relatedPlaylists.uploads,category_title
UCdBjEJpySOp2fY6f3x6TfPg,Cooking With Duaa,"Cooking With Duaa is  cooking channel where you find all types of cultural food 🥘. My name is Saima i have been living in London for the last 10 years ,welcome to my channel cooking with Duaa. The purpose of this channel is to give you easy and unique recepies. I love to cook quick and easy recepies which I learnt from my mother and grand mother.
Please subscribe to my YouTube channel.

For Business Enquiries contact:
adnan7778@hotmail.com


Facebook. Cookingwithduaa 
Instagram. Cookingwithduaa ",2018-06-03 11:10:43+00:00,https://yt3.ggpht.com/ytc/AMLnZu8FFJO-L_Hl2dCqZg1khQ2gSN3Y8svBujCNXoLB=s88-c-k-c0x00ffffff-no-rj,@cookingwithduaa,,6337390,60700,360,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUdBjEJpySOp2fY6f3x6TfPg,random_channels
UCmTSflg4X32Qkxuz5Mw1k8w,NOW COMEDY,"NOW COMEDY is a channel made for movie fans, by movie fans. Here you will find all of the most memorable moments, scenes, trailers, and more from all of your favorite comedy films. ",2021-07-12 17:07:52.899720+00:00,https://yt3.ggpht.com/a01Dpwe_v62zupe0foZ8pRWi8W_KK6Th6j92L0s29wuFYWu8Tuvg4_F23lFds9CCi4zatXInDs4=s88-c-k-c0x00ffffff-no-rj,@nowcomedy,,5114628,4820,166,"['/m/02jjt', '/m/0f2f9', '/m/02vxn']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Film']",UUmTSflg4X32Qkxuz5Mw1k8w,random_channels
UCf9Ua7W95KDm28d16otkm0Q,The Cooking Doc,"Dr. Blake Shusterman, a board certified kidney doctor (nephrologist) with a passion for healthy food. Tune in weekly for tips on using your diet to maintain your health,  learning to create kidney-healthy and delicious meals and becoming an expert on all things kidneys.

Dr. Blake practices in Greenville, South Carolina, USA in a practice called Carolina Nephrology.

He is the author of a book, The Cooking Doc's Kidney-Healthy Cooking: A Modern 10 Step Guide to Preventing and Managing Kidney Disease. His book is available on Amazon and on his website www.thecookingdoc.co. 

",2012-07-02 20:05:52+00:00,https://yt3.ggpht.com/ytc/AMLnZu_4iArn0IQcSMBFGdAlou8pyU2fSawZNyIk44QWPQ=s88-c-k-c0x00ffffff-no-rj,@thecookingdoc,,4077404,80100,319,"['/m/0kt51', '/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUf9Ua7W95KDm28d16otkm0Q,random_channels
UCged4xNWHYsJTGPQ5rn6HmA,Cooking with Shirley,"Welcome to my channel !
I'm Shirley. 
Every week I'll share easy and delicious recipes with you !
If you like my videos, please like, share and subscribe.
Thank You for your support !
",2019-06-08 16:21:33+00:00,https://yt3.ggpht.com/ytc/AMLnZu_i2uw8YucpuN7sbmi9rj0rZqcQwAGkqijsqROs=s88-c-k-c0x00ffffff-no-rj,@cookingwithshirley,,3646809,30600,207,"['/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUged4xNWHYsJTGPQ5rn6HmA,random_channels
UCrdJ-n4brmIZy975U-4iwsQ,Tev Don Comedy,"I Appreciate The Support....

Social Media

👉Instagram : OfficialTev_Don
 
",2018-03-04 20:12:07+00:00,https://yt3.ggpht.com/ytc/AMLnZu-exxugrVoLObyxbARgK67Qabq-o8twOL3Mzkot_Q=s88-c-k-c0x00ffffff-no-rj,@tevdoncomedy,,3228191,35000,165,"['/m/02jjt', '/m/02vxn', '/m/09kqc']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",UUrdJ-n4brmIZy975U-4iwsQ,random_channels
UC22gUNj0sgOlBAR_zLfdh5A,Cooking Addiction,"Welcome to my channel Cooking Addiction. I am Lesten Gonsalves, and I'm based in Goa. Cooking has been kind of my obsession from school days, so I thought of pursuing it to explore more about the culinary world. This Channel is a platform to share my knowledge and skills with people who are eager to learn about food. Subscribe my channel to learn drool worthy recipes.


For business inquiries & Sponsorships email: lesten.gonsalves@gmail.com 
",2017-09-10 20:15:09+00:00,https://yt3.ggpht.com/hYamd2K3rw6bcxP5sT3nD9nAh92t6rKTSJ6UjMEyviysMSiPOjOU5EdJw7rMJrpUxOSrhRjDqtE=s88-c-k-c0x00ffffff-no-rj,@cookingaddiction,,3198996,28800,136,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UU22gUNj0sgOlBAR_zLfdh5A,random_channels
UCfV7GnI8E_RnxMjc5-x8mAQ,TRAPHOUSE MUSIC,"© 2021 Trap House Music ®

TRAPHOUSE is an independent Music Label based in EUROPE (Athens, Greece) with distribution & official artist's from all cultures, PLEASE subscribe to our channel and stay tuned for all of our releases!

Official partner's with Keep It Pure ® & Stay Independent ®
",2021-05-20 01:02:18.880150+00:00,https://yt3.ggpht.com/v1l6tVDERtV9RHqehIqybspe93qN6WnJk-x8Ks3p2BSBQrp3-xeYRgxM_gCKNR7V1nQjTl7CpWg=s88-c-k-c0x00ffffff-no-rj,@traphousemusicgreece,,2292609,5080,23,"['/m/0glt670', '/m/064t9', '/m/04rlf', '/m/02lkt']","['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Electronic_music']",UUfV7GnI8E_RnxMjc5-x8mAQ,random_channels
UCrWtfbfTrZn9penvY3xwWig,KAKE News,"KAKE delivers Kansas’ favorite local news - building on a history of broadcast leadership while delivering relevant local content to fit the digital media landscape of tomorrow.

New videos every weekday at 2 p.m. and 4 p.m.
",2014-06-17 20:59:12+00:00,https://yt3.ggpht.com/NZXTfPTgy-BxWSgXcdU9TSXMKcZYhjsCRAsb_s_ygeP3Ma7erCbsJXWF4RXXZUHHqiwGhSRUkA=s88-c-k-c0x00ffffff-no-rj,@kakenewsonyourside,,1994821,4300,2898,['/m/098wr'],['https://en.wikipedia.org/wiki/Society'],UUrWtfbfTrZn9penvY3xwWig,random_channels
UCwcEhBb53uJO4ogeBLLh2yQ,MY KINGDOM MUSIC,"Independent Dark Metal label - Obscure, Extreme & Decadent!
Web: www.mykingdommusic.net
Shop: http://mykingdommusic.bigcartel.com
Bandcamp: http://mykingdommusic.bandcamp.com
Mail: info@mykingdommusic.net",2006-03-12 08:22:28+00:00,https://yt3.ggpht.com/ytc/AMLnZu8A0bmQQxjvj19f5C0AEnji75NW7u_RBryO8b6LuA=s88-c-k-c0x00ffffff-no-rj,@mykingdommusic,,1681946,2650,281,"['/m/06by7', '/m/04rlf']","['https://en.wikipedia.org/wiki/Rock_music', 'https://en.wikipedia.org/wiki/Music']",UUwcEhBb53uJO4ogeBLLh2yQ,random_channels
UCtxFOnPpYdQuDog6fGlp1Eg,Travel Addict Guy,"Join me as I travel through Europe and discover new places, foods and friends!",2018-11-08 11:43:30+00:00,https://yt3.ggpht.com/69F3xpbtlaoq2wbqwCLO7SXmVfVrjnov0GH20KeAu4UiWWOVo2jqzh2Zp5jb3mkMFNJQbHoHWg=s88-c-k-c0x00ffffff-no-rj,@traveladdictguy,en,1607054,8150,594,"['/g/120yrv6h', '/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Tourism', 'https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUtxFOnPpYdQuDog6fGlp1Eg,random_channels
UCaPrv_BwRFvpIsSnXSmGt0w,MTB Travel Review,"Welcome to MTB Travel Review! 

This channel is dedicated to all things mountain biking.  I cover everything from rider feature films, to in depth tutorials for beginners, and trail & product reviews.  The goal?  To grow and support the mountain bike community in return for all that mountain biking has done for me.   I wouldn't be where I am today without my bike, and I simply want to share my experiences with the world.  

Make sure you subscribe and turn your alerts on to follow along and thank you for the support!

Instagram: https://www.instagram.com/mtbtravelreview/
Facebook: https://www.facebook.com/MTBTravelReview

Sponsors: DirtLab-USA, Bootlegger Bikes, G-Form, Nobl, CushCore, 100%, Untapped Maple, GoPro, Team Granit MTB
",2017-05-29 18:21:27+00:00,https://yt3.ggpht.com/ytc/AMLnZu8t38Tnu-8dd-_fZ068Hj6UND8v4_zHbPIZu1GDwA=s88-c-k-c0x00ffffff-no-rj,@mtbtravelreview,,1526362,14600,148,"['/m/06ntj', '/m/019_rr']","['https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUaPrv_BwRFvpIsSnXSmGt0w,random_channels
UCIPX0CTQmfGb7PoRG0MNsnQ,Angel shimrah,,2019-02-21 16:41:55+00:00,https://yt3.ggpht.com/8sp9QfioeCD0MzVIOF3yNqmpM2VOxI3lk2VJHh-ds3nQzp_dnlEf3N3lmVK9Gzfd9CWly6ElGw=s88-c-k-c0x00ffffff-no-rj,,,1451828,33700,28,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUIPX0CTQmfGb7PoRG0MNsnQ,random_channels
UC1zhHVE2KIwnqfJ5r77cM7A,Ely Rose Kim,"Hi! Kumusta? 😃
I’m Ely Rose Kim a Filipina mom living in South Korea. My vlog is all about my simple life here, my daily routine as a mother a wife and a friend. I hope you enjoyed watching my videos. God bless everyone, stay safe always! 😘🥰
Please don't forget to click like and subscribe.
Thank you for watching ^^

❣For business/collaboration email me:

💌 Hernandezelyrose@gmail.com 

💖Junhwa & Junseo Instagram:  junhwa_junseo

❣My social media accounts:

⚘Instagram acc.: elyrosekim029

⚘Fb Page:
Elyrose Kim

⚘Tiktok acc.:
@elyrose029

If you're reading this, Thank you so much 💋

xoxoxoxoxo",2015-08-22 12:03:08+00:00,https://yt3.ggpht.com/cN_zyUiX_JUZg2KN4oEKjHYyCWhgMckJGp9YukIlHkhoNRnpRK0_xRiCljbq3KNUp2tSzEUSCA=s88-c-k-c0x00ffffff-no-rj,@elyrosekim,,1294470,13000,409,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UU1zhHVE2KIwnqfJ5r77cM7A,random_channels
UCHU5LSiGQsCbdPKKreHcITw,County News TV,County News Service brings you the highest quality raw breaking news footage from the Southern California area by seasoned photographers with a knack for providing news you can use.,2020-08-31 08:17:55.535313+00:00,https://yt3.ggpht.com/JZRF-Vux5W5unS71oWmATbzf3GcjxGbxe1Eh9cS5Pf_NiRxfDpRT5tggSvwY8NdYkUr_V80=s88-c-k-c0x00ffffff-no-rj,@countynewstv,,1273273,5310,617,"['/m/07yv9', '/m/019_rr', '/m/098wr']","['https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Society']",UUHU5LSiGQsCbdPKKreHcITw,random_channels
UCMQEmETLCqv088mFEIlLQyQ,Sorinex Exercise Equipment,The YouTube channel for Sorinex.,2014-06-16 13:46:50+00:00,https://yt3.ggpht.com/ytc/AMLnZu8XMi8Ldx-ZLbuiTQXgCPeQLskb05h8vQ1WmrnJ3g=s88-c-k-c0x00ffffff-no-rj,@sorinexexerciseequipment,,1249456,7230,257,"['/m/027x7n', '/m/019_rr']","['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUMQEmETLCqv088mFEIlLQyQ,random_channels
UCfKqi5ZUXqXxErUgTdMkSDQ,Learning Music Hub,"Welcome to the LEARNING MUSIC HUB - an animated approach in Music Theory..Made clear & easy to understand… This a free, anytime, any day, music learning on the go music theory app. 

This animated-interactive learning structural approach are well-created and well-recommended music lessons designed for all teachers and students. 

Whether you want to play any musical instrument like piano, guitar, violin, flute, and the like! LEARNING MUSIC HUB is a great place to be. 

It contains more than a hundred animated Music Theory Lessons from the ground zero level to the amazing advanced professional level! 

The lessons starts from scratch on staff, notes, pitch, rhythms, major & minor scales, key signatures, all chords, modulations, cadences,  time signature, dynamics mastery… 

Our ultimate aim is to hone & develop a better musician of the future by means of this powerful lessons.

LEARNING MUSIC HUB is great also for all ONLINE music classes! A no charge-at-all music lectures!
",2021-02-17 03:58:51.699041+00:00,https://yt3.ggpht.com/ytc/AMLnZu-Con60-HbXuZH5Kjix8HKAUf_GFsTKMhPi6dof=s88-c-k-c0x00ffffff-no-rj,@learningmusichub,,1245134,3730,43,"['/m/0ggq0m', '/m/019_rr', '/m/04rlf']","['https://en.wikipedia.org/wiki/Classical_music', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Music']",UUfKqi5ZUXqXxErUgTdMkSDQ,random_channels
UCK45CFLlvd9pP7IzVYDWIMw,Travel With Jaro,"TRAVEL The WORLD. Why wouldn't you? it pushes your comfort zone, you meet incredible people & cultures along the way, and it's possible to do all on a budget, or indefinitely! 

We explore different travel tips, films, and vlogs. Make sure to subscribe for helpful videos, but don't be shy, reach out to me and we could connect!

Thanks for watching! Welcome to Travel With Jaro!
",2012-06-03 03:22:07+00:00,https://yt3.ggpht.com/U2dkMsqAtbQXdJv4bETRv3eUlUwF5haDhd0wQ5UyjkFhLnY1x3odCow5VXy03VRWxyilDGDO=s88-c-k-c0x00ffffff-no-rj,@travelwithjaro,,1100914,9510,195,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],UUK45CFLlvd9pP7IzVYDWIMw,random_channels
UC5TKWxKKl1IRfTZsVgS0ziA,Nina's nutrition and exercise videos,"I’m a fitness and health fanatic with a certification in Fitness Nutrition from the American Council on Exercise, and a certified Plant-Based Grassroots Ambassador. I also have my fitness trainer and strength coach certifications from the International Sports Sciences Association. I'm a published author of The High-Five Diet, Slimming Dairy-Free Desserts and Smoothies, Food Tracker for Healthy Weight Loss and Weightlifting Record Book.

These videos reflect extensive research on numerous diets, health issues, exercise, and what does and doesn’t work for weight-loss. I've created exercise videos based on tried and true practices to increase strength and mobility. I hope you find my videos helpful. Add your suggestions and experiences too in the comments!

You can learn more about me, check out the products and services I offer from my website: www.TheHighFiveDiet.com   and on my blog: www.RealDietHelp.com",2014-10-13 18:41:03+00:00,https://yt3.ggpht.com/ytc/AMLnZu_D_EZQwf4JSls95B4ZcVud_Gr43TNJQ8PVBG-YjA=s88-c-k-c0x00ffffff-no-rj,ninasnutritionandexercisevideos,,806787,1120,333,"['/m/02wbm', '/m/0kt51', '/m/019_rr', '/m/027x7n']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Physical_fitness']",UU5TKWxKKl1IRfTZsVgS0ziA,random_channels
UCG-PXXY7gyI7LOMeE0rl_KA,Georgia Cooking For The Soul,"Hello my name is Willie Ann Thompson, most people call me Ann. I am retired, I love being with family and friends, and I love cooking. I hope you will come aboard and join my family and I to learn some old fashioned cooking. These recipes are what I've learned from my mother and they hold a special place in my heart. I am excited to get to share them with you!

Social Media:
Email- @annthompson4091@gmail.com
Instagram- @georgiacookingforthesoul

",2013-11-16 06:15:58+00:00,https://yt3.ggpht.com/ytc/AMLnZu-VlyHDiaPI3B7jeYwJ96Se4YnAkWaNXQ1ctjQR=s88-c-k-c0x00ffffff-no-rj,@georgiacookingforthesoul,,767928,10000,461,"['/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUG-PXXY7gyI7LOMeE0rl_KA,random_channels
UCTNAGaw3TauzN7pkJTaZZtg,All Star Driver Education,"We are All Star Driver Education! 
We provide cities across the U.S. with quality educational and operational driving programs. 

This channel is a source of information for anyone to benefit from: need-to-knows of drivers education, how-to's of driving, and tips on how to become a great driver behind the wheel. 

We are leaders in drivers education for a reason: 
- We care about our instructors and students and always work to provide quality programs
- We have the latest cars and technology that will keep you safe on and off the road
- We have 24/7 customer service that is convenient for you: reach us through social media, our website, or call our center at +1 (800) 967-7719",2014-12-18 15:01:14+00:00,https://yt3.ggpht.com/ytc/AMLnZu-hE8_JICXTChV68DLYYZKHuhIFAZPvEcRKATn3=s88-c-k-c0x00ffffff-no-rj,@allstardrivereducationinc,,745671,3070,61,"['/m/019_rr', '/m/07yv9', '/m/01k8wb']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Knowledge']",UUTNAGaw3TauzN7pkJTaZZtg,random_channels
UCJDIvab5y2yIBzzkbIgy8WQ,Adam Muller Comedy,"Welcome to Adam Muller's Comedy YouTube channel. Adam Muller is a New York based stand-up comedian by way of Toronto, Canada. ",2020-05-25 10:23:44.442865+00:00,https://yt3.ggpht.com/SjrpJw3ILAE54ZxG34_tG5lUYCgNPEU4HELHqfobLW2sq-3Iuk1pVFD-KLe9uTyqXpWlK1r_YQ=s88-c-k-c0x00ffffff-no-rj,@adammullercomedy,,704732,1270,232,"['/m/09kqc', '/m/02jjt', '/m/02vxn']","['https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",UUJDIvab5y2yIBzzkbIgy8WQ,random_channels
UCitLqDolQHZ_tldN-bXGDwg,Travel Bro,Samith Travelling everywhere,2020-03-12 09:00:43.253974+00:00,https://yt3.ggpht.com/dEVOAaoXLUjWDT2QHlVpKjDGTUfLrwqeiZYdWNGNbJjlVzoT9JwQmhn3al53K2-uuTMOdQsC6g=s88-c-k-c0x00ffffff-no-rj,@travelbro1,,666274,12000,96,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUitLqDolQHZ_tldN-bXGDwg,random_channels
UCIzKAXlRpnPzulWndJ0SOSA,Cooking With Papa Seif,"New videos every week, sometimes",2021-03-10 23:05:00.530233+00:00,https://yt3.ggpht.com/ytc/AMLnZu-DYPTTOOEEoDhmdSGBqpYFM596Bqz2XrAoMEMa=s88-c-k-c0x00ffffff-no-rj,@danjseif,,655047,1800,81,"['/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUIzKAXlRpnPzulWndJ0SOSA,random_channels
